MonthYear,Year,Ammunition,Battery,CallingCard,Camera,Cellphone,Charger,Club,Cocaine,Coins,CommercialAlcohol,CommunicationDevice,Credit/Debit/PhoneCard,Currency,Drone,Drug_Paraphernalia,Escape_Paraphernalia,Excess_Property,Fentanyl/Oxycodone,Fentanyl/Oxycodone(Grams),FlammableLiquid,TattooTemplates,Gun,HandcuffKey,Heroin,HomemadeAlcohol,HomemadeAlcohol(Ounces),K2,K2(Gram),Lighters,Lockinsock,Marijuana,Medallions,Methadrone,Meth,Narcotic_Pills,Other,Other(Gram),Paperwork,Porn,Prescription_Meds,Razor_Weapons,RollingPapers,Shank,SIM,Stamps,Gangmail,Suboxone,Suboxone(Gram),Suboxone(Ounces),Tattoo_Devices,Tattoo_Parts,Tattoo_Ink,Tobacco(Gram),MP3,USB,Total,Pop,Rate
01-2018,2018,12.0,62.0,0.0,0.0,461.0,190.0,4.0,18.0,0.0,7.0,17.0,2.0,49.0,1.0,6.0,1.0,0.0,0.0,3.0,0.0,1.0,12.0,0.0,5.0,0.0,60.0,0.0,338.0,29.0,17.0,129.0,0.0,1.0,32.0,13.0,33.0,0.0,9.0,1.0,4.0,18.0,4.0,426.0,26.0,0.0,2.0,39.0,0.0,0.0,6.0,2.0,2.0,178.0,1.0,4.0,2225.0,96064,232.0
02-2018,2018,11.0,59.0,0.0,0.0,454.0,158.0,2.0,17.0,0.0,7.0,13.0,0.0,61.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,1.0,8.0,2.0,4.0,0.0,45.0,0.0,283.0,23.0,15.0,127.0,2.0,2.0,28.0,15.0,50.0,0.0,9.0,2.0,4.0,13.0,3.0,395.0,20.0,0.0,3.0,30.0,0.0,0.0,6.0,4.0,6.0,217.0,1.0,5.0,2116.0,96101,220.0
03-2018,2018,11.0,38.0,0.0,0.0,447.0,143.0,2.0,24.0,0.0,7.0,14.0,1.0,59.0,0.0,9.0,5.0,0.0,0.0,5.0,0.0,0.0,11.0,7.0,4.0,0.0,68.0,0.0,292.0,25.0,18.0,147.0,1.0,2.0,35.0,14.0,54.0,0.0,7.0,2.0,8.0,5.0,4.0,443.0,27.0,0.0,2.0,31.0,0.0,0.0,12.0,5.0,12.0,222.0,1.0,5.0,2229.0,96163,232.0
04-2018,2018,10.0,42.0,2.0,0.0,381.0,119.0,3.0,27.0,0.0,8.0,17.0,0.0,54.0,0.0,6.0,1.0,0.0,0.0,2.0,1.0,0.0,6.0,9.0,7.0,0.0,46.0,0.0,307.0,24.0,15.0,130.0,3.0,5.0,27.0,10.0,57.0,0.0,17.0,0.0,11.0,15.0,4.0,417.0,22.0,0.0,2.0,29.0,0.0,0.0,11.0,7.0,4.0,212.0,4.0,6.0,2080.0,96081,216.0
05-2018,2018,2.0,54.0,0.0,1.0,450.0,177.0,1.0,38.0,1.0,2.0,11.0,0.0,40.0,1.0,9.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,9.0,2.0,0.0,63.0,0.0,247.0,22.0,10.0,129.0,1.0,4.0,33.0,6.0,33.0,0.0,4.0,0.0,6.0,12.0,4.0,497.0,23.0,0.0,0.0,30.0,0.0,0.0,12.0,5.0,6.0,207.0,2.0,5.0,2165.0,96196,225.0
06-2018,2018,4.0,37.0,0.0,0.0,449.0,132.0,0.0,24.0,1.0,6.0,14.0,0.0,53.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,91.0,0.0,235.0,19.0,22.0,103.0,4.0,10.0,46.0,9.0,43.0,0.0,12.0,1.0,13.0,17.0,4.0,514.0,19.0,0.0,3.0,31.0,0.0,0.0,12.0,14.0,9.0,221.0,0.0,10.0,2203.0,96256,229.0
07-2018,2018,4.0,24.0,0.0,0.0,401.0,132.0,1.0,35.0,0.0,10.0,19.0,1.0,34.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,3.0,0.0,56.0,0.0,233.0,23.0,22.0,116.0,1.0,2.0,57.0,9.0,32.0,0.0,8.0,1.0,5.0,12.0,3.0,418.0,17.0,0.0,3.0,26.0,0.0,0.0,5.0,6.0,3.0,212.0,3.0,3.0,1952.0,96273,203.0
08-2018,2018,7.0,41.0,1.0,0.0,424.0,133.0,2.0,39.0,0.0,6.0,22.0,1.0,38.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,6.0,6.0,0.0,99.0,0.0,246.0,22.0,22.0,156.0,1.0,5.0,58.0,12.0,45.0,0.0,17.0,0.0,3.0,9.0,5.0,503.0,20.0,0.0,0.0,37.0,0.0,0.0,10.0,3.0,5.0,232.0,0.0,10.0,2262.0,96298,235.0
09-2018,2018,7.0,23.0,1.0,0.0,347.0,129.0,2.0,23.0,0.0,5.0,15.0,1.0,37.0,0.0,10.0,2.0,0.0,1.0,4.0,0.0,0.0,4.0,6.0,6.0,0.0,61.0,0.0,193.0,10.0,16.0,137.0,2.0,3.0,49.0,20.0,26.0,0.0,11.0,0.0,7.0,9.0,3.0,369.0,25.0,0.0,1.0,29.0,0.0,0.0,4.0,3.0,3.0,191.0,0.0,2.0,1797.0,96145,187.0
10-2018,2018,3.0,32.0,1.0,0.0,414.0,136.0,0.0,33.0,3.0,6.0,24.0,0.0,38.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,3.0,0.0,66.0,0.0,172.0,15.0,10.0,112.0,1.0,0.0,59.0,15.0,31.0,0.0,19.0,0.0,1.0,11.0,4.0,408.0,26.0,0.0,3.0,42.0,3.0,0.0,18.0,3.0,6.0,183.0,1.0,5.0,1919.0,95612,201.0
