MonthYear,Year,Cocaine,Hash,Heroin,Marijuana,Methamphetamine,Butane_Oil,Suboxone,Fentanyl,Total
01-2018,2018,67.6,1.81,1324.872,8301.861,1117.1629999999998,0.0,0.0,0.0,10813.31
02-2018,2018,234.6,0.6,1579.3229999999999,2448.6139999999996,2393.541,8.4,0.0,0.0,6665.08
03-2018,2018,6.199999999999999,741.8,1090.3115999999998,7079.928,1896.3680000000002,105.75999999999999,0.0,0.0,10920.37
04-2018,2018,18.81,0.48,771.7991000000001,1608.3620000000003,1651.101,93.374,0.0,0.0,4143.93
05-2018,2018,0.0,16.049999999999997,859.656,3709.666,1066.76,23.04,0.0,0.0,5675.17
06-2018,2018,1.0,0.0,1132.0200000000002,20870.920000000002,2302.16,32.1,0.0,0.0,24338.2
07-2018,2018,0.1,0.0,1187.082,3223.2389999999996,1618.8229999999999,79.0,0.0,0.0,6108.24
08-2018,2018,0.4,0.74,1670.1501,1987.7379999999998,1096.2669999999998,171.00000000000003,0.0,0.0,4926.3
09-2018,2018,19.5,0.01,1041.1611,2085.472,1912.591,76.7,0.0,0.0,5135.43
10-2018,2018,1.5,0.0,914.9812,2091.6901,1822.6111,36.35,0.0,0.0,4867.13
11-2018,2018,0.4,43.9,765.099,3148.85,1293.9931000000001,32.9,0.0,0.0,5285.14
12-2018,2018,0.0,0.0,1773.0000000000002,3091.418,1867.7910000000002,135.32,0.0,0.0,6867.53
01-2019,2019,222.59000000000003,63.7,1176.576,3218.274999999999,1896.918,41.75,6.787000000000001,0.0,6626.6
02-2019,2019,0.0,0.1,1529.5,1718.6470000000002,845.20461,257.67999999999995,0.0,0.0,4351.13
03-2019,2019,8.273,0.0,1312.963,2440.234,1752.9640000000004,149.01000000000002,0.0,10.06,5673.5
04-2019,2019,5.5,1.0,1420.88,3096.663,2359.08,164.48,0.0,5.64,7053.24
05-2019,2019,1.5,0.1,2241.819,4260.973000000001,3061.5119999999997,478.0799999999999,59.547,54.67,10158.2
06-2019,2019,4.8,28.55,1511.057,2665.9299999999994,3926.554,76.37,116.678,0.26,8330.2
07-2019,2019,16.0,131.17,1466.806,1441.6411,1382.496,163.15999999999997,31.128,0.0,4632.4
08-2019,2019,30.6,7.720000000000001,1545.89,2849.344,1840.048,579.9,355.47,0.10500000000000001,7209.08
09-2019,2019,0.0,0.32,1156.1100000000001,3004.618,2150.35,296.19,111.77599999999998,0.14,6719.5
10-2019,2019,10.889999999999999,0.0,883.2019999999999,1501.3259999999998,1024.67,376.49,790.6429999999999,46.26,4633.48
11-2019,2019,0.0,0.6,1255.712,2602.7990000000004,1133.4260000000002,353.81100000000004,29.25,34.8,5410.4
12-2019,2019,58.940000000000005,210.117,1319.3229999999999,4107.840999999999,1790.383,52.019999999999996,32.120000000000005,6.46,7577.2
01-2020,2020,0.2,52.26,1022.9090000000001,4934.765,1702.02,462.32,108.161,0.1,8282.74
02-2020,2020,0.0,10.5,1987.75801,2655.917,1026.6,118.08,306.65600000000006,15.579999999999998,6121.09
03-2020,2020,29.0,36.160000000000004,1047.44,1404.7399999999998,1241.6730000000002,109.76,49.873999999999995,0.72,3919.37
04-2020,2020,7.42,37.1,1003.835,1822.22,1881.9459999999997,82.00000000000001,381.885,131.0,5347.41
05-2020,2020,79.6,85.0,992.75,2256.0416,1814.8899,123.07000000000001,126.018,35.2,5512.57
06-2020,2020,29.53,42.1,750.8299999999999,1977.7869999999998,1353.8899999999999,163.415,754.5609999999999,1.6,5073.71
07-2020,2020,11.299999999999999,16.2,1295.1,3894.192,1771.81,95.93,1138.2429999999997,9.14,8231.92
08-2020,2020,4.33,1.0,1327.49,12705.51,2642.68,197.01999999999998,322.802,0.0,17200.83
09-2020,2020,16.32,61.699999999999996,922.94,1998.9299999999998,2932.563,212.53,126.35,0.0,6271.33
10-2020,2020,5.12,54.359,630.46,2429.88,4200.920000000001,170.56,258.048,0.0,7749.35
11-2020,2020,4.7,5.833,818.89,3241.1699999999996,4465.67,150.4,343.21999999999997,15.6,9045.48
12-2020,2020,3.4,0.0,445.77,6185.320000000001,2154.278,72.11,40.507000000000005,0.0,8901.38
