SearchDate,MonthYear,Institution,Cocaine,Hash,Heroin,Marijuana,Methamphetamine,Butane_Oil,Suboxone,Fentanyl,Total
Jan-18,01-2018,ASP,0.0,0.0,0.2,2.6,0.0,0.0,0.0,0.0,2.8000000000000003
Jan-18,01-2018,CAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan-18,01-2018,CAL,0.0,0.0,571.4200000000001,213.34,3.9699999999999998,0.0,0.0,0.0,788.7300000000001
Jan-18,01-2018,CCC,0.0,1.8,0.0,4990.79,1.9,0.0,0.0,0.0,4994.49
Jan-18,01-2018,CCI,0.0,0.0,1.96,0.0,38.19,0.0,0.0,0.0,40.15
Jan-18,01-2018,CCWF,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,5.9
Jan-18,01-2018,CEN,0.0,0.0,7.0,72.5,31.0,0.0,0.0,0.0,110.5
Jan-18,01-2018,CHCF,0.0,0.0,0.0,17.53,0.0,0.0,0.0,0.0,17.53
Jan-18,01-2018,CIM,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,9.8
Jan-18,01-2018,CIW,0.0,0.0,31.9,5.4,50.8,0.0,0.0,0.0,88.1
Jan-18,01-2018,CMC,0.0,0.0,0.0,107.59,0.0,0.0,0.0,0.0,107.59
Jan-18,01-2018,CMF,0.0,0.01,0.0,55.0,7.363,0.0,0.0,0.0,62.373
Jan-18,01-2018,COR,0.0,0.0,20.8,1236.3,40.5,0.0,0.0,0.0,1297.6
Jan-18,01-2018,CRC,0.0,0.0,18.5,74.30000000000001,1.6,0.0,0.0,0.0,94.4
Jan-18,01-2018,CTF,0.0,0.0,3.6799999999999997,15.45,0.01,0.0,0.0,0.0,19.14
Jan-18,01-2018,CVSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan-18,01-2018,DVI,0.0,0.0,3.9219999999999997,34.881,0.0,0.0,0.0,0.0,38.803
Jan-18,01-2018,FOL,0.0,0.0,0.1,440.15999999999997,13.0,0.0,0.0,0.0,453.26
Jan-18,01-2018,HDSP,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,15.0
Jan-18,01-2018,ISP,0.0,0.0,22.3,0.0,13.12,0.0,0.0,0.0,35.42
Jan-18,01-2018,KVSP,0.0,0.0,49.72,0.6,151.4,0.0,0.0,0.0,201.72
Jan-18,01-2018,LAC,0.0,0.0,7.07,114.44999999999999,32.370000000000005,0.0,0.0,0.0,153.89
Jan-18,01-2018,MCSP,0.0,0.0,59.199999999999996,64.0,87.6,0.0,0.0,0.0,210.79999999999998
Jan-18,01-2018,NKSP,0.0,0.0,0.0,93.1,0.0,0.0,0.0,0.0,93.1
Jan-18,01-2018,PBSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan-18,01-2018,PVSP,0.0,0.0,88.1,6.59,48.17,0.0,0.0,0.0,142.86
Jan-18,01-2018,RJD,33.8,0.0,38.2,30.5,0.0,0.0,0.0,0.0,102.5
Jan-18,01-2018,SAC,0.0,0.0,8.97,1.6,48.910000000000004,0.0,0.0,0.0,59.480000000000004
Jan-18,01-2018,SATF,0.0,0.0,1.23,0.0,72.9,0.0,0.0,0.0,74.13000000000001
Jan-18,01-2018,SCC,0.0,0.0,0.0,0.0,31.2,0.0,0.0,0.0,31.2
Jan-18,01-2018,SOL,0.0,0.0,19.5,370.8,26.6,0.0,0.0,0.0,416.90000000000003
Jan-18,01-2018,SQ,0.0,0.0,116.44,154.8,347.65,0.0,0.0,0.0,618.89
Jan-18,01-2018,SVSP,33.8,0.0,243.76,85.58,66.08,0.0,0.0,0.0,429.21999999999997
