SearchDate,MonthYear,Institution,CellPhone,Cocaine,Hash,Heroin,Marijuana,Methamphetamine,Tobacco,Butane_Oil,Suboxone,Fentanyl,Total
Jan-18,01-2018,ASP,2,0,0,1,1,0,0,0,0,0,4
Jan-18,01-2018,CAC,11,0,0,0,0,0,0,0,0,0,11
Jan-18,01-2018,CAL,70,0,0,12,5,3,1,0,0,0,91
Jan-18,01-2018,CCC,64,0,1,0,13,3,11,0,0,0,92
Jan-18,01-2018,CCI,3,0,0,1,0,4,1,0,0,0,9
Jan-18,01-2018,CCWF,8,0,0,3,0,0,1,0,0,0,12
Jan-18,01-2018,CEN,25,0,0,1,4,1,0,0,0,0,31
Jan-18,01-2018,CHCF,2,0,0,0,7,0,2,0,0,0,11
Jan-18,01-2018,CIM,3,0,0,0,1,0,1,0,0,0,5
Jan-18,01-2018,CIW,12,0,0,4,1,7,3,0,0,0,27
Jan-18,01-2018,CMC,30,0,0,0,9,0,3,0,0,0,42
Jan-18,01-2018,CMF,17,0,1,0,2,4,4,0,0,0,28
Jan-18,01-2018,COR,25,0,0,3,10,3,0,0,0,0,41
Jan-18,01-2018,CRC,18,0,0,5,8,5,2,0,0,0,38
Jan-18,01-2018,CTF,25,0,0,3,2,1,0,0,0,0,31
Jan-18,01-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,DVI,23,0,0,5,5,0,0,0,0,0,33
Jan-18,01-2018,FOL,21,0,0,1,10,1,7,0,0,0,40
Jan-18,01-2018,HDSP,7,0,0,1,2,0,0,0,0,0,10
Jan-18,01-2018,ISP,14,0,0,5,0,1,0,0,0,0,20
Jan-18,01-2018,KVSP,19,0,0,4,1,5,1,0,0,0,30
Jan-18,01-2018,LAC,46,0,0,5,17,7,7,0,0,0,82
Jan-18,01-2018,MCSP,5,0,0,8,7,2,2,0,0,0,24
Jan-18,01-2018,NKSP,22,0,0,0,3,0,1,0,0,0,26
Jan-18,01-2018,PBSP,3,0,0,0,0,0,0,0,0,0,3
Jan-18,01-2018,PVSP,14,0,0,7,2,9,2,0,0,0,34
Jan-18,01-2018,RJD,4,2,0,4,8,0,4,0,0,0,22
Jan-18,01-2018,SAC,53,0,0,4,2,7,0,0,0,0,66
Jan-18,01-2018,SATF,11,0,0,3,0,2,0,0,0,0,16
Jan-18,01-2018,SCC,60,0,0,0,0,6,5,0,0,0,71
Jan-18,01-2018,SOL,29,0,0,6,4,4,5,0,0,0,48
Jan-18,01-2018,SQ,20,0,0,2,9,4,5,0,0,0,40
Jan-18,01-2018,SVSP,23,1,0,11,5,7,0,0,0,0,47
Jan-18,01-2018,VSP,5,0,0,0,3,2,1,0,0,0,11
Jan-18,01-2018,WSP,16,0,0,0,0,0,2,0,0,0,18
Feb-18,02-2018,ASP,1,0,0,0,0,2,0,0,0,0,3
Feb-18,02-2018,CAC,7,0,0,0,0,0,0,0,0,0,7
Feb-18,02-2018,CAL,45,0,0,7,3,3,0,0,0,0,58
Feb-18,02-2018,CCC,52,0,0,0,8,6,2,0,0,0,68
Feb-18,02-2018,CCI,10,0,0,1,0,1,2,0,0,0,14
Feb-18,02-2018,CCWF,4,0,0,4,1,0,0,0,0,0,9
Feb-18,02-2018,CEN,16,0,0,0,7,4,3,0,0,0,30
Feb-18,02-2018,CHCF,2,0,0,0,3,0,2,0,0,0,7
Feb-18,02-2018,CIM,5,0,0,0,1,1,2,0,0,0,9
Feb-18,02-2018,CIW,5,0,0,2,1,6,1,0,0,0,15
Feb-18,02-2018,CMC,13,0,0,0,4,1,3,0,0,0,21
Feb-18,02-2018,CMF,20,0,0,0,0,1,0,0,0,0,21
Feb-18,02-2018,COR,21,0,0,13,10,7,0,0,0,0,51
Feb-18,02-2018,CRC,11,0,0,2,5,1,2,0,0,0,21
Feb-18,02-2018,CTF,13,0,0,4,2,4,2,0,0,0,25
Feb-18,02-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,DVI,2,0,0,2,0,2,0,0,0,0,6
Feb-18,02-2018,FOL,21,0,0,1,9,6,1,0,0,0,38
Feb-18,02-2018,HDSP,5,0,0,6,6,7,0,0,0,0,24
Feb-18,02-2018,ISP,15,0,0,1,0,2,1,0,0,0,19
Feb-18,02-2018,KVSP,21,0,0,6,3,10,1,0,0,0,41
Feb-18,02-2018,LAC,41,0,0,4,5,2,3,0,0,0,55
Feb-18,02-2018,MCSP,7,0,0,1,1,5,1,1,0,0,16
Feb-18,02-2018,NKSP,23,0,0,4,3,5,3,0,0,0,38
Feb-18,02-2018,PBSP,3,0,0,3,0,1,1,0,0,0,8
Feb-18,02-2018,PVSP,3,0,0,0,0,1,0,0,0,0,4
Feb-18,02-2018,RJD,8,0,0,6,4,1,2,0,0,0,21
Feb-18,02-2018,SAC,52,0,0,4,4,7,3,0,0,0,70
Feb-18,02-2018,SATF,29,0,0,5,0,4,8,0,0,0,46
Feb-18,02-2018,SCC,53,0,0,0,7,4,13,0,0,0,77
Feb-18,02-2018,SOL,37,0,1,2,5,1,6,1,0,0,53
Feb-18,02-2018,SQ,16,0,0,4,1,2,2,0,0,0,25
Feb-18,02-2018,SVSP,28,0,0,7,7,5,1,0,0,0,48
Feb-18,02-2018,VSP,7,0,0,0,0,1,1,0,0,0,9
Feb-18,02-2018,WSP,18,1,0,2,5,1,4,0,0,0,31
Mar-18,03-2018,ASP,4,0,0,1,0,3,2,0,0,0,10
Mar-18,03-2018,CAC,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,CAL,78,0,1,10,15,1,3,0,0,0,108
Mar-18,03-2018,CCC,50,0,0,0,5,3,1,1,0,0,60
Mar-18,03-2018,CCI,3,0,0,0,0,0,0,0,0,0,3
Mar-18,03-2018,CCWF,3,0,0,3,0,3,0,0,0,0,9
Mar-18,03-2018,CEN,9,0,0,4,8,1,2,0,0,0,24
Mar-18,03-2018,CHCF,6,0,0,0,4,0,2,0,0,0,12
Mar-18,03-2018,CIM,5,0,0,1,1,2,2,0,0,0,11
Mar-18,03-2018,CIW,19,0,0,4,1,6,2,0,0,0,32
Mar-18,03-2018,CMC,28,0,0,0,0,3,5,0,0,0,36
Mar-18,03-2018,CMF,25,0,0,3,0,0,2,0,0,0,30
Mar-18,03-2018,COR,38,0,0,5,13,4,5,0,0,0,65
Mar-18,03-2018,CRC,28,0,0,4,4,4,0,0,0,0,40
Mar-18,03-2018,CTF,18,0,0,3,1,3,1,0,0,0,26
Mar-18,03-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,DVI,1,0,0,0,3,3,0,1,0,0,8
Mar-18,03-2018,FOL,36,0,1,10,15,3,4,1,0,0,70
Mar-18,03-2018,HDSP,8,1,0,2,1,6,0,0,0,0,18
Mar-18,03-2018,ISP,18,0,0,3,1,2,0,0,0,0,24
