CONTRABAND/DATE,AMMUNITION - EACH,BATTERY PACK                   - EACH,CALLING CARD                   - EACH,CAMERA                         - EACH,CELL PHONE                     - EACH,CHARGER                        - EACH,CLUB                           - EACH,COCAINE (POWDER AND CRACK)     - GRAMS,COINS                          - EACH,COMMERCIAL ALCOHOL             - OUNCES,COMMUNICATION CAPABLE DEVICE   - EACH,CREDIT/DEBIT/PHONE CARD        - EACH,CURRENCY                       - EACH,DRONE                          - EACH,DRUG PARAPHERNALIA             - EACH,ESCAPE PARAPHERNALIA           - EACH,EXCESS PROPERTY                - EACH,FENTANYL / OXYCODONE           - EACH,FENTANYL / OXYCODONE           - GRAMS,FLAMMABLE LIQUID               - OUNCES,GANG TATTOO TEMPLATES          - EACH,GUN                            - EACH,HANDCUFF KEY                   - EACH,HEROIN                         - GRAMS,HOME MADE ALCOHOL              - EACH,HOME MADE ALCOHOL              - OUNCES,K2 (SYNTHETIC CANNABINOID)     - EACH,K2 (SYNTHETIC CANNABINOID)     - GRAMS,LIGHTERS                       - EACH,LOCK IN SOCK                   - EACH,MARIJUANA                      - GRAMS,MEDALLIONS/GANG SYMBOLS/TAGS   - EACH,METHADRONE (BATH SALTS)        - GRAMS,METHAMPHETAMINE/AMPHETAMINE    - GRAMS,NAIL/SHARP                     - EACH,NARCOTIC PILLS                 - EACH,OBSERVABLE GANG ACTIVITY       - EACH,OTHER                          - EACH,OTHER                          - GRAMS,"PAPERWORK, BY LAWS             - EACH",PORNOGRAPHY                    - EACH,PRESCRIPTION MEDICATION        - EACH,RAZOR TYPE WEAPON              - EACH,RECRUITMENT ACTIVITIES         - EACH,ROLLING PAPERS                 - EACH,SHANK/BLADED WEAPON            - EACH,SIMS CARD                      - EACH,STAMPS                         - EACH,STG/GANG MAIL (INCOM/OUTGO)    - EACH,SUBOXONE                       - EACH,SUBOXONE                       - GRAMS,SUBOXONE                       - OUNCES,TATTOO DEVICE                  - EACH,TATTOO DEVICE PARTS            - EACH,TATTOO INKS                    - EACH,TOBACCO                        - GRAMS,UNAUTHORIZED MP3 PLAYER        - EACH,USB DRIVE                      - EACH
01-2018 (N),12,62,0,0,461,190,4,18,0,7,17,2,49,1,6,1,0,0,3,0,1,12,0,5,0,60,0,338,29,17,129,0,1,32,16,13,3,33,0,9,1,4,18,0,4,426,26,0,2,39,0,0,6,2,2,178,1,4
01-2018 (Amount),223.0,75.0,0.0,0.0,741.0,361.0,6.0,42.45,0.0,489.4,19.0,2.0,2483.0,1.0,7.0,1.0,0.0,0.0,5.2,0.0,7.0,14.0,0.0,29.3,0.0,26654.8,0.0,2990.43,56.0,21.0,597.86,0.0,0.5,254.01,25.0,157.2,6.0,900.7,0.0,50.0,20.0,31.0,26.0,0.0,13.0,954.0,37.0,0.0,4.0,210.0,0.0,0.0,6.0,13.0,2.0,55350.72,1.0,12.0
02-2018 (N),11,59,0,0,454,158,2,17,0,7,13,0,61,0,8,1,0,0,2,0,1,8,2,4,0,45,0,283,23,15,127,2,2,28,18,15,3,50,0,9,2,4,13,0,3,395,20,0,3,30,0,0,6,4,6,217,1,5
02-2018 (Amount),292.0,98.0,0.0,0.0,821.0,451.0,4.0,67.92,0.0,218.3,25.0,0.0,3830.0,0.0,22.08,3.0,0.0,0.0,1.01,0.0,1.0,10.0,2.0,14.0,0.0,16898.5,0.0,2260.46,53.0,15.0,687.99,6.0,3.3,187.89,24.0,222.0,9.0,222.52,0.0,39.0,2.0,76.0,26.0,0.0,3.0,817.0,34.0,0.0,5.0,189.5,0.0,0.0,6.0,15.0,31.0,71666.98,1.0,7.0
03-2018 (N),11,38,0,0,447,143,2,24,0,7,14,1,59,0,9,5,0,0,5,0,0,11,7,4,0,68,0,292,25,18,147,1,2,35,19,14,0,54,0,7,2,8,5,1,4,443,27,0,2,31,0,0,12,5,12,222,1,5
03-2018 (Amount),252.0,47.0,0.0,0.0,746.0,348.0,3.0,159.33,0.0,164.76,22.0,777.0,3523.8,0.0,15.0,5.0,0.0,0.0,894.11,0.0,0.0,11.0,10.0,8.93,0.0,19708.0,0.0,2346.8,84.0,19.0,1341.69,1.0,3.08,685.81,25.0,307.75,0.0,585.7,0.0,19.0,112.0,49.0,11.0,1.0,10.0,866.0,44.0,0.0,248.0,362.0,0.0,0.0,13.0,13.0,57.0,77004.32,1.0,7.0
04-2018 (N),10,42,2,0,381,119,3,27,0,8,17,0,54,0,6,1,0,0,2,1,0,6,9,7,0,46,0,307,24,15,130,3,5,27,25,10,3,57,0,17,0,11,15,1,4,417,22,0,2,29,0,0,11,7,4,212,4,6
04-2018 (Amount),49.0,63.0,4.0,0.0,569.01,250.0,3.0,290.38,0.0,733.6,18.0,0.0,5084.0,0.0,40.0,1.0,0.0,0.0,3.0,4.0,0.0,6.0,9.0,11.13,0.0,14096.0,0.0,2361.97,63.0,16.0,517.67,3.0,31.45,240.22,31.0,130.0,26.0,478.0,0.0,125.0,0.0,206.0,17.0,1.0,37.0,790.03,38.0,0.0,4.0,172.0,0.0,0.0,11.0,45.0,8.0,64562.36,4.0,6.0
05-2018 (N),2,54,0,1,450,177,1,38,1,2,11,0,40,1,9,2,0,0,2,1,0,1,9,2,0,63,0,247,22,10,129,1,4,33,13,6,0,33,0,4,0,6,12,1,4,497,23,0,0,30,0,0,12,5,6,207,2,5
05-2018 (Amount),112.0,69.0,0.0,1.0,893.05,362.0,1.0,245.84,58.0,46.48,15.0,0.0,2057.0,1.0,423.0,2.0,0.0,0.0,2.0,0.07,0.0,1.0,17.0,8.8,0.0,16637.0,0.0,3004.44,49.0,11.0,1307.0,1.0,24.5,220.5,17.0,86.0,0.0,159.93,0.0,28.0,0.0,108.0,73.0,4.0,11.0,910.0,36.0,0.0,0.0,162.0,0.0,0.0,17.0,10.0,28.0,74984.12,2.0,7.0
06-2018 (N),4,37,0,0,449,132,0,24,1,6,14,0,53,0,7,2,0,0,0,0,0,3,6,3,0,91,0,235,19,22,103,4,10,46,19,9,0,43,0,12,1,13,17,2,4,514,19,0,3,31,0,0,12,14,9,221,0,10
06-2018 (Amount),50.0,52.0,0.0,0.0,684.0,309.0,0.0,205.51,0.25,137.2,17.0,0.0,2266.16,0.0,32.3,2.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,34.2,0.0,29665.2,0.0,1912.08,45.0,23.0,632.21,4.0,177.2,714.4,33.0,124.0,0.0,160.5,0.0,86.0,1.0,606.0,21.0,3.0,7.0,1409.0,32.0,0.0,7.0,182.0,0.0,0.0,14.0,105.0,20.0,55342.67,0.0,32.0
07-2018 (N),4,24,0,0,401,132,1,35,0,10,19,1,34,0,2,1,0,0,4,0,0,2,3,3,0,56,0,233,23,22,116,1,2,57,3,9,2,32,0,8,1,5,12,0,3,418,17,0,3,26,0,0,5,6,3,212,3,3
07-2018 (Amount),24.0,28.0,0.0,0.0,510.0,205.05,1.0,326.42,0.0,351.24,24.0,1.0,1712.37,0.0,3.0,3.0,0.0,0.0,5.03,0.0,0.0,2.0,3.0,11.1,0.0,17097.21,0.0,1659.43,45.0,25.0,543.09,1.0,22.5,333.05,4.0,150.0,3.0,150.61,0.0,102.0,1.0,87.0,24.0,0.0,17.0,934.06,34.0,0.0,23.0,102.25,0.0,0.0,5.0,15.0,6.0,28856.09,3.0,8.0
08-2018 (N),7,41,1,0,424,133,2,39,0,6,22,1,38,0,5,2,1,0,2,0,0,6,6,6,0,99,0,246,22,22,156,1,5,58,6,12,1,45,0,17,0,3,9,0,5,503,20,0,0,37,0,0,10,3,5,232,0,10
