SearchDate,MonthYear,Institution,CellPhone_Disc,CellPhone_Amnt,Cocaine_Disc,Cocaine_Amnt (Grams),Hash_Disc,Hash_Amnt (Grams),Heroin_Disc,Heroin_Amnt (Grams),Marijuana_Disc,Marijuana_Amnt (Grams),Methamphetamine_Disc,Methamphetamine_Amnt (Grams),Tobacco_Disc,Tobacco_Amnt (Grams),ButaneHoneyOil_Disc,ButaneHoneyOil_Amnt (Grams),Suboxone_Disc,Suboxone_Amnt (Grams),Fentanyl_Disc,Fentanyl_Amnt (Grams)
Jan-18,01-2018,ASP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,CAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,CAL,7,16,0,0,0,0,2,277.2,2,103.64,1,0.17,0,0,0,0,0,0,0,0
Jan-18,01-2018,CCC,5,10,0,0,0,0,0,0,3,18.5,1,0.7,5,3480.25,0,0,0,0,0,0
Jan-18,01-2018,CCI,1,1,0,0,0,0,0,0,0,0,1,2.91,0,0,0,0,0,0,0,0
Jan-18,01-2018,CCWF,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,CEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,CHCF,1,1,0,0,0,0,0,0,3,8.45,0,0,1,18.53,0,0,0,0,0,0
Jan-18,01-2018,CIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,CIW,1,1,0,0,0,0,1,13.7,0,0,2,11.3,0,0,0,0,0,0,0,0
Jan-18,01-2018,CMC,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,CMF,6,8,0,0,1,0.01,0,0,0,0,3,6.9,3,235.9,0,0,0,0,0,0
Jan-18,01-2018,COR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,CRC,3,3,0,0,0,0,2,12,3,20.1,0,0,1,88,0,0,0,0,0,0
Jan-18,01-2018,CTF,2,2,0,0,0,0,1,1.68,0,0,1,0.01,0,0,0,0,0,0,0,0
Jan-18,01-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,DVI,7,15,0,0,0,0,1,1.2,3,9,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,FOL,6,61,0,0,0,0,0,0,6,192.96,0,0,5,1108,0,0,0,0,0,0
Jan-18,01-2018,HDSP,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,ISP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,KVSP,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,LAC,3,58,0,0,0,0,0,0,7,59.9,2,16.6,2,112.2,0,0,0,0,0,0
Jan-18,01-2018,MCSP,3,6,0,0,0,0,2,24.4,3,17,0,0,1,15,0,0,0,0,0,0
Jan-18,01-2018,NKSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,PBSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,PVSP,7,30,0,0,0,0,2,11.88,1,0.6,5,19.75,2,4,0,0,0,0,0,0
Jan-18,01-2018,RJD,4,6,1,16.9,0,0,1,8.1,4,17.3,0,0,2,7.2,0,0,0,0,0,0
Jan-18,01-2018,SAC,10,11,0,0,0,0,0,0,1,1,2,2.24,0,0,0,0,0,0,0,0
Jan-18,01-2018,SATF,3,4,0,0,0,0,2,0.63,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,SCC,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Jan-18,01-2018,SOL,2,2,0,0,0,0,3,5.4,3,185.4,2,7,2,1098.37,0,0,0,0,0,0
Jan-18,01-2018,SQ,1,5,0,0,0,0,0,0,2,0.36,2,173,1,514,0,0,0,0,0,0
Jan-18,01-2018,SVSP,1,1,0,0,0,0,3,3.44,1,3,1,14.05,0,0,0,0,0,0,0,0
Jan-18,01-2018,VSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,WSP,1,8,0,0,0,0,0,0,0,0,0,0,1,3.87,0,0,0,0,0,0
Feb-18,02-2018,ASP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,CAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,CAL,5,14,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0
Feb-18,02-2018,CCC,2,4,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0
Feb-18,02-2018,CCI,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,CCWF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,CEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,CHCF,1,2,0,0,0,0,0,0,0,0,0,0,1,9.33,0,0,0,0,0,0
Feb-18,02-2018,CIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,CIW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,CMC,1,1,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0
Feb-18,02-2018,CMF,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,COR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,CRC,0,0,0,0,0,0,0,0,1,73,1,29.2,0,0,0,0,0,0,0,0
Feb-18,02-2018,CTF,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,DVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,FOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-18,02-2018,HDSP,1,7,0,0,0,0,2,5.1,3,37.9,4,25.9,0,0,0,0,0,0,0,0
Feb-18,02-2018,ISP,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
