SearchDate,MonthYear,Institution,CellPhone_Disc,CellPhone_Amnt,Cocaine_Disc,Cocaine_Amnt (Grams),Hash_Disc,Hash_Amnt (Grams),Heroin_Disc,Heroin_Amnt (Grams),Marijuana_Disc,Marijuana_Amnt (Grams),Methamphetamine_Disc,Methamphetamine_Amnt (Grams),Tobacco_Disc,Tobacco_Amnt (Grams),ButaneHoneyOil_Disc,ButaneHoneyOil_Amnt (Grams),Suboxone_Disc,Suboxone_Amnt (Grams),Fentanyl_Disc,Fentanyl_Amnt (Grams)
Jan-18,01-2018,ASP,2,3,0,0,0,0,1,0.2,1,2.6,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,CAC,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,CAL,63,78,0,0,0,0,10,294.22,3,109.7,2,3.8,1,6,0,0,0,0,0,0
Jan-18,01-2018,CCC,59,75,0,0,1,1.8,0,0,10,4972.29,2,1.2,6,8454.59,0,0,0,0,0,0
Jan-18,01-2018,CCI,2,2,0,0,0,0,1,1.96,0,0,3,35.28,1,3.73,0,0,0,0,0,0
Jan-18,01-2018,CCWF,4,5,0,0,0,0,3,5.9,0,0,0,0,1,548,0,0,0,0,0,0
Jan-18,01-2018,CEN,25,29,0,0,0,0,1,7,4,72.5,1,31,0,0,0,0,0,0,0,0
Jan-18,01-2018,CHCF,1,1,0,0,0,0,0,0,4,9.08,0,0,1,18.53,0,0,0,0,0,0
Jan-18,01-2018,CIM,3,3,0,0,0,0,0,0,1,9.8,0,0,1,1.7,0,0,0,0,0,0
Jan-18,01-2018,CIW,11,13,0,0,0,0,3,18.2,1,5.4,5,39.5,3,10.95,0,0,0,0,0,0
Jan-18,01-2018,CMC,29,35,0,0,0,0,0,0,9,107.59,0,0,3,210.2,0,0,0,0,0,0
Jan-18,01-2018,CMF,11,13,0,0,0,0,0,0,2,55,1,0.463,1,120.8,0,0,0,0,0,0
Jan-18,01-2018,COR,25,47,0,0,0,0,3,20.8,10,1236.3,3,40.5,0,0,0,0,0,0,0,0
Jan-18,01-2018,CRC,15,27,0,0,0,0,3,6.5,5,54.2,5,1.6,1,88,0,0,0,0,0,0
Jan-18,01-2018,CTF,23,25,0,0,0,0,2,2,2,15.45,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,DVI,16,36,0,0,0,0,4,2.722,2,25.881,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,FOL,15,74,0,0,0,0,1,0.1,4,247.2,1,13,2,1028.7,0,0,0,0,0,0
Jan-18,01-2018,HDSP,7,7,0,0,0,0,1,5,1,6,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,ISP,9,9,0,0,0,0,5,22.3,0,0,1,13.12,0,0,0,0,0,0,0,0
Jan-18,01-2018,KVSP,16,22,0,0,0,0,4,49.72,1,0.6,5,151.4,1,0.4,0,0,0,0,0,0
Jan-18,01-2018,LAC,43,121,0,0,0,0,5,7.07,10,54.55,5,15.77,5,176.5,0,0,0,0,0,0
Jan-18,01-2018,MCSP,2,19,0,0,0,0,6,34.8,4,47,2,87.6,1,72.6,0,0,0,0,0,0
Jan-18,01-2018,NKSP,22,24,0,0,0,0,0,0,3,93.1,0,0,1,23.4,0,0,0,0,0,0
Jan-18,01-2018,PBSP,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-18,01-2018,PVSP,7,38,0,0,0,0,5,76.22,1,5.99,4,28.42,0,0,0,0,0,0,0,0
Jan-18,01-2018,RJD,0,0,1,16.9,0,0,3,30.1,4,13.2,0,0,2,7.2,0,0,0,0,0,0
Jan-18,01-2018,SAC,43,49,0,0,0,0,4,8.97,1,0.6,5,46.67,0,0,0,0,0,0,0,0
Jan-18,01-2018,SATF,8,8,0,0,0,0,1,0.6,0,0,2,72.9,0,0,0,0,0,0,0,0
Jan-18,01-2018,SCC,59,97,0,0,0,0,0,0,0,0,5,29.2,5,485.6,0,0,0,0,0,0
Jan-18,01-2018,SOL,27,44,0,0,0,0,3,14.1,1,185.4,2,19.6,3,1197.8,0,0,0,0,0,0
Jan-18,01-2018,SQ,19,30,0,0,0,0,2,116.44,7,154.44,2,174.65,4,547.24,0,0,0,0,0,0
Jan-18,01-2018,SVSP,22,30,1,33.8,0,0,8,240.32,4,82.58,6,52.03,0,0,0,0,0,0,0,0
Jan-18,01-2018,VSP,5,11,0,0,0,0,0,0,3,94.2,2,2.83,1,40,0,0,0,0,0,0
